start	end	text
0	5100	Right before the 4th of July, a crypto bill that was supposed to sail through the Senate stalled.
5460	8820	Most people shrugged, just another bill stuck in Washington.
9260	13700	But the thing jamming it up is a question that sounds way too small a matter.
13820	15700	Can a stablecoin pay you interest?
15940	21140	And that tiny sounding question is hiding one of the biggest money moves of the decade.
21300	26940	Because while everyone argues about interest, two bills are quietly doing something much bigger,
26940	32120	keeping the US dollar on top for another 50 years, and they're doing it with crypto.
32380	37800	The Genius Act already signed into law, and the Clarity Act, the one stuck in the center right now.
37920	41380	Together they turned stablecoins into a Trojan horse for the dollar.
41580	42800	Let me show you the whole play.
43200	48300	After World War II, the world's gold had drained into one country, the United States.
48580	50600	So everyone else did the practical thing.
50680	54900	They pegged their money to the dollar because the dollar was redeemable for gold.
54900	57800	The dollar became the world's reserve currency.
57960	59860	Then America started abusing it.
60200	63220	It printed far more dollars than it had gold to back them.
63400	67460	By the late 60s, the world caught on and came to collect.
67740	68820	There wasn't enough gold.
69080	72920	So in 1971, Nixon slammed the gold window shut.
73380	74900	The gold standard was dead.
75200	78340	Losing the reserve currency would have ended American power.
78500	81420	So they invented a new leash, the petrodollar.
81780	83560	Oil would only be priced in dollars.
83560	88160	Every nation on earth that wanted oil first had to get US dollars.
88980	91880	And those dollars flowed back into US Treasuries.
92260	92860	That's the trick.
93340	94480	Every single time.
94800	99820	Force the world to need dollars and then soak those dollars back into American debt.
100100	101220	No gold required.
101440	103240	Just leverage over everyone.
103480	107520	And it held for 50 years until it started slipping again.
107760	110880	So fast forward to today where the dollar is slipping again.
111280	111920	Same story.
111920	115120	They're printing far more than the economy can absorb.
115440	116580	They needed a new leash.
117180	118560	And they just legislated one.
118800	120740	Here's the part almost nobody connects.
121100	124400	A dollar stablecoin isn't just magic internet money.
124700	129000	Behind every coin, the issue where parks actual dollars in US Treasuries.
129300	134820	And in July of 2025, this month last year, that stopped being optional.
134940	136540	The Genius Act became law.
136540	143820	It forces every dollar stablecoin to hold 100% reserves in cash and short term US Treasuries.
144100	145640	Read what this actually means.
146100	151300	Every dollar stablecoin on the planet is now a forced buyer of American government debt.
151620	152000	By law.
152280	155380	The petrodollar funneled the world's money into Treasuries.
156160	159760	Stablecoins funding the world's everyday money into Treasuries.
160120	160600	Same trick.
161220	161720	New rails.
162280	163900	This is Bretton Woods 3.0.
163900	166880	And this time, the dollar doesn't need gold.
167140	168480	The dollar doesn't need oil.
168780	170980	It just needs your phone.
171400	176760	And speaking of your phone, the best thing you could do with it right now is to scroll down
176760	180960	on that description, tap on that link to join the community.
181280	182520	The best community ever.
182800	183340	My community.
183900	189740	We make tons of software where 50 X's and 100 X's are just commonplace these days.
190300	193280	And if you like this content, make sure you click that like button
193280	194760	and that subscribe button.
194880	198320	And click that bell icon too so you never miss content like this.
198460	202540	Because in a second, I'm going to show you the part that almost nobody gets right.
202660	204860	There's a real interest ban on the books.
205360	208100	And you're probably earning interest on your stables right now.
208200	210180	Here's a loophole that explains why.
210420	214320	Now, every government on earth wants a central bank digital currency.
214540	215100	One ledger.
215780	216380	Total visibility.
216860	219020	Control over every transaction you make.
219120	219860	There's one problem.
220100	222020	Their own citizens don't want it.
222020	226880	A government coin that watches every single dollar you spend is a surveillance tool
226880	228180	and people know it.
228320	231120	So most of those projects are frozen in pilot mode.
231320	231920	Going nowhere.
232300	234100	So Washington did something smarter.
234300	235980	It didn't build a government coin.
236640	239300	It let private companies build a dollar coin.
239480	241360	Then wrote the laws to control them.
241460	243380	It's not run by the central bank.
