[000]    0.00-  83.92 (83.9s) gap 0.0  There's a name printed inside the Ethereum white paper that almost nobody can pronounce. That name is Yonatan Sampolinsky. This is the man whose math is cited in the Ethereum white paper. The man who looked at Bitcoin, the most secure network ever built, and said it was too slow, then proved it on paper. He turned the blockchain into a block dag where blocks stop fighting and start stacking side by side. He took an idea off of a university chalkboard and launched it into a top crypto network. No company, no investors, no pre-mine, nothing but code. He's not a CEO, he's not an influencer, he's a quiet academic from Israel who rewrote how blockchains agree on reality. And while every other founder was selling you a dream, this man was publishing the papers that other founders quote. So half of crypto calls him a generational genius. The other half calls him an overrated academic that the Casper community turned into a messiah. Today we're not picking a side and shouting it. We put the receipts on the table. The story, ghost, Ethereum, Spectre, the chain that he actually built, and the strongest case against him too. Then you decide. Then at the end, I'll tell you exactly where I land and why. So where does this guy come from? Before the white papers, before Casper, before any of it. Yonatan was born and raised in Israel, and the Sam Polinsky name carries a story that most people have no idea about. His grandfather, David.
[001]   84.38-  90.03 ( 5.6s) gap 0.5  was a World War II hero who worked with the Danish resistance to smuggle hundreds of Jews
[002]   90.50-  92.30 ( 1.8s) gap 0.5  Out of Nazi-occupied Denmark.
[003]   92.77-  93.37 ( 0.6s) gap 0.5  safely.
[004]   93.74-  95.76 ( 2.0s) gap 0.4  into Sweden. His father, Hayem.
[005]   96.30-  99.38 ( 3.1s) gap 0.5  is one of the most respected brain scientists alive.
[006]   99.90- 102.61 ( 2.7s) gap 0.5  a Hebrew University and Harvard professor.
[007]  103.01- 107.74 ( 4.7s) gap 0.4  just won the field's biggest prize. This is not a kid who fell into crypto for the money.
[008]  108.29- 117.67 ( 9.4s) gap 0.6  He comes from a family that did big, serious things. He went to the Hebrew University in Jerusalem to study computer science and math. And here's the part that matters.
[009]  118.16- 133.40 (15.2s) gap 0.5  He was not some rich founder who bought his way in later. He was still a student in 2013 when he and his advisor Aviv Zohar published Ghost, the exact paper now sitting inside Ethereum's white paper. He was reshaping how blockchains work.
[010]  133.81- 143.46 ( 9.7s) gap 0.4  before he even finished school. So he's the opposite of every other crypto founder. No Lambo posts, no daily threads, no countdown to the moon. He kept going.
[011]  144.01- 171.21 (27.2s) gap 0.5  Their PhD finished around 2018, then a postdoc in Harvard, then the research lab that became Casper. This is not a marketer who learned to say the word block dag, this is one of the people who did the underlying consensus research that the rest of the space quotes. When the guy who is supposedly overrated is the guy that everyone else is citing. That's a strange kind of overrated don't you think? Here's the first receipt. In 2013
[012]  171.83- 217.99 (46.2s) gap 0.6  Some Poliski and Zohar published a paper called the secure high rate transaction processing in Bitcoin. The idea inside it is called Ghost. Ghost stands for greediest, heaviest observed subtree. And if you try to say it without being a geek, it's sort of like when you speed up Bitcoin, the blocks start getting created faster than the network can agree on. So there's lots of valid blocks getting orphaned and thrown away and throwing them away weak in security. Ghost says stop ignoring those orphan blocks. Count their work too when you decide which branch is the real one. Pick the heaviest observed subtree, not the longest single line. This is the careful part. Ethereum's white paper cites this exact paper. And early Ethereum used a simplified version of the idea.
[013]  218.61- 228.50 ( 9.9s) gap 0.6  The uncle reward. Paying miners a little for their orphan block so that the network stays secure at fast block times. And this is not me connecting the dots after the fact.
[014]  229.07- 234.88 ( 5.8s) gap 0.6  Watch this. This is a real talk from a 2017 meetup in Brooklyn. A guy from the Iota network.
[015]  235.41- 238.92 ( 3.5s) gap 0.5  Listen to who he credits. Ghosts and spectra by name.
[016]  239.40- 262.66 (23.3s) gap 0.5  as Sampalitsky and Zohar's work. People in the DAG world were studying this man from years ago. Now Ghosts only patched Bitcoin's tree, but it still kept one single file chain. The next idea threw this single chain out completely. Now this goes back to the talk that I just showed you. The guy on stage walked through Ghosts and Spectre. Three years after Ghosts, in 2016,
